date,price
9/13/2013,372.3859335
9/14/2013,369.6106262
9/15/2013,365.4604503
9/16/2013,368.4601462
9/17/2013,382.3121988
9/18/2013,380.7217585
9/19/2013,378.244045
9/20/2013,375.7393082
9/21/2013,372.0770755
9/22/2013,376.350453
9/23/2013,371.1628987
9/24/2013,363.1713193
9/25/2013,365.111873
9/26/2013,362.5509791
9/27/2013,364.8028905
9/28/2013,360.2361402
9/29/2013,357.88092
9/30/2013,359.7170331
10/1/2013,366.7299146
10/2/2013,373.9444132
10/3/2013,371.8993992
10/4/2013,362.9673048
10/5/2013,368.4928339
10/6/2013,370.0976821
10/7/2013,373.1684119
10/8/2013,366.5194945
10/9/2013,369.4333861
10/10/2013,340.4723761
10/11/2013,336.6837315
10/12/2013,336.0462869
10/13/2013,336.5850261
10/14/2013,337.1980049
10/15/2013,341.9806761
10/16/2013,344.4837583
10/17/2013,344.4307406
10/18/2013,349.1523608
10/19/2013,355.2811965
10/20/2013,359.8681146
10/21/2013,359.8418597
10/22/2013,365.4406502
10/23/2013,365.1514739
10/24/2013,366.4670043
10/25/2013,360.7962245
10/26/2013,356.702961
10/27/2013,352.8193249
10/28/2013,354.3334426
10/29/2013,350.7193382
10/30/2013,347.6184274
10/31/2013,354.4126929
11/1/2013,353.4713425
11/2/2013,354.4716696
11/3/2013,356.7623906
11/4/2013,357.4994855
11/5/2013,356.4399018
11/6/2013,356.2358094
11/7/2013,356.5513915
11/8/2013,359.9537883
11/9/2013,360.2960185
11/10/2013,356.3740213
11/11/2013,352.4506821
11/12/2013,353.8003371
11/13/2013,356.8674286
11/14/2013,356.7752901
11/15/2013,355.090452
11/16/2013,357.8348534
11/17/2013,361.9937136
11/18/2013,365.8090209
11/19/2013,362.3819591
11/20/2013,360.8551797
11/21/2013,360.4604524
11/22/2013,360.3816901
11/23/2013,363.6120378
11/24/2013,364.2042506
11/25/2013,361.730273
11/26/2013,357.1438411
11/27/2013,351.6479353
11/28/2013,351.6281196
11/29/2013,356.1565675
11/30/2013,351.6543869
12/1/2013,349.1062711
12/2/2013,350.4690923
12/3/2013,348.0198999
12/4/2013,348.7112769
12/5/2013,352.6156507
12/6/2013,356.7163212
12/7/2013,357.0641426
12/8/2013,352.4903116
12/9/2013,380.7875503
12/10/2013,383.5280561
12/11/2013,398.0787261
12/12/2013,396.9230942
12/13/2013,395.4520235
12/14/2013,396.3650199
12/15/2013,397.0872036
12/16/2013,402.5893579
12/17/2013,398.2887918
12/18/2013,396.9230942
12/19/2013,394.0727933
12/20/2013,392.4649463
12/21/2013,397.2513117
12/22/2013,397.8622227
12/23/2013,397.9343908
12/24/2013,394.6180608
12/25/2013,400.3245198
12/26/2013,404.9724884
12/27/2013,405.0515229
12/28/2013,406.1014573
12/29/2013,406.7318509
12/30/2013,411.2340838
12/31/2013,418.7790459
1/1/2014,417.7164536
1/2/2014,425.1741064
1/3/2014,423.613286
1/4/2014,420.7603536
1/5/2014,426.5906792
1/6/2014,431.3639072
1/7/2014,433.022351
1/8/2014,431.8553965
1/9/2014,438.6267877
1/10/2014,441.1497972
1/11/2014,439.3607846
1/12/2014,432.1573515
1/13/2014,427.5220028
1/14/2014,431.744342
1/15/2014,431.1936501
1/16/2014,431.652561
1/17/2014,430.1840109
1/18/2014,425.8236486
1/19/2014,425.4564187
1/20/2014,422.9315379
1/21/2014,423.2988124
1/22/2014,425.7777452
1/23/2014,430.7347292
1/24/2014,435.0940764
1/25/2014,437.8010113
1/26/2014,437.6175011
1/27/2014,440.1406288
1/28/2014,449.0288729
1/29/2014,446.1949346
1/30/2014,446.3783721
1/31/2014,444.7503102
2/1/2014,445.598752
2/2/2014,451.238908
2/3/2014,446.0573554
2/4/2014,443.5807823
2/5/2014,435.8277355
2/6/2014,441.9754454
2/7/2014,439.7231863
2/8/2014,443.3055901
2/9/2014,454.6314784
2/10/2014,453.8979936
2/11/2014,456.8363719
2/12/2014,463.0190033
2/13/2014,460.0860167
2/14/2014,459.0318816
2/15/2014,447.3413939
2/16/2014,449.7716895
2/17/2014,447.2955367
2/18/2014,445.1401389
2/19/2014,444.4063379
2/20/2014,442.2047865
2/21/2014,443.3973212
2/22/2014,449.1297507
2/23/2014,449.0380437
2/24/2014,454.8606874
2/25/2014,456.0525365
2/26/2014,458.2527065
2/27/2014,463.6605435
2/28/2014,469.9375205
3/1/2014,470.1207641
3/2/2014,470.1665747
3/3/2014,473.556312
3/4/2014,474.5639761
3/5/2014,471.5820795
3/6/2014,477.2661327
3/7/2014,477.8156856
3/8/2014,478.9605461
3/9/2014,482.623725
3/10/2014,462.6524008
3/11/2014,458.8943821
3/12/2014,462.7898774
3/13/2014,459.9943548
3/14/2014,458.2985411
3/15/2014,472.0905407
3/16/2014,474.0601495
3/17/2014,475.1135927
3/18/2014,474.9761898
3/19/2014,471.4492365
3/20/2014,474.7471831
3/21/2014,475.708996
3/22/2014,471.9073127
3/23/2014,472.3653799
3/24/2014,479.6016435
3/25/2014,475.5257966
3/26/2014,457.74852
3/27/2014,470.9453422
3/28/2014,468.0133747
3/29/2014,470.9453422
3/30/2014,463.7521906
3/31/2014,467.0512413
4/1/2014,465.7683338
4/2/2014,465.7683338
4/3/2014,461.781696
4/4/2014,471.1743864
4/5/2014,472.1821541
4/6/2014,470.8537238
4/7/2014,466.6388861
4/8/2014,461.781696
4/9/2014,456.2358923
4/10/2014,450.3677588
4/11/2014,456.8317881
4/12/2014,466.4097966
4/13/2014,478.8231658
4/14/2014,481.2043107
4/15/2014,489.6279783
4/16/2014,491.413048
4/17/2014,490.9095803
4/18/2014,498.3689846
4/19/2014,501.1142022
4/20/2014,499.4671086
4/21/2014,504.1335871
4/22/2014,510.5371243
4/23/2014,506.8781622
4/24/2014,508.0673838
4/25/2014,507.3355619
4/26/2014,508.7534474
4/27/2014,507.9301688
4/28/2014,511.9090969
4/29/2014,518.9964312
4/30/2014,526.173202
5/1/2014,532.3884072
5/2/2014,531.5201958
5/3/2014,538.2823437
5/4/2014,534.6273453
5/5/2014,542.1195471
5/6/2014,542.85038
5/7/2014,552.6918406
5/8/2014,548.0113174
5/9/2014,554.4040247
5/10/2014,554.0844252
5/11/2014,536.4549081
5/12/2014,534.4445821
5/13/2014,540.3837383
5/14/2014,538.3737122
5/15/2014,536.1350938
5/16/2014,524.2534984
5/17/2014,532.1142383
5/18/2014,522.1965138
5/19/2014,520.6879534
5/20/2014,512.04629
5/21/2014,505.1628384
5/22/2014,498.3918627
5/23/2014,510.5828579
5/24/2014,525.3961963
5/25/2014,521.4193878
5/26/2014,526.7216625
5/27/2014,524.8934155
5/28/2014,522.470788
5/29/2014,531.5201958
5/30/2014,531.1546245
5/31/2014,524.8019997
6/1/2014,515.0186239
6/2/2014,510.2169865
6/3/2014,496.1268281
6/4/2014,496.1725884
6/5/2014,502.9899242
6/6/2014,521.9222368
6/7/2014,522.470788
6/8/2014,509.8511098
6/9/2014,514.2870051
6/10/2014,512.3664044
6/11/2014,498.7350314
6/12/2014,494.9370284
6/13/2014,507.4270408
6/14/2014,511.22312
6/15/2014,524.2534984
6/16/2014,526.90448
6/17/2014,527.452925
6/18/2014,509.3480205
6/19/2014,537.5513847
6/20/2014,553.9474528
6/21/2014,546.0018673
6/22/2014,552.7146704
6/23/2014,552.8059896
6/24/2014,556.9606855
6/25/2014,558.695426
6/26/2014,554.0844252
6/27/2014,557.691116
